make,price,year,kilometer,fuel type,transmission,color,owner,seller type,engine,seating capacity,fuel tank capacity
Honda,505000,2017,87150,Petrol,Manual,Grey,First,Corporate,1198.0,5.0,35.0
Maruti Suzuki,450000,2014,75000,Diesel,Manual,White,Second,Individual,1248.0,5.0,42.0
Hyundai,220000,2011,67000,Petrol,Manual,Maroon,First,Individual,1197.0,5.0,35.0
Toyota,799000,2019,37500,Petrol,Manual,Red,First,Individual,1197.0,5.0,37.0
Toyota,1950000,2018,69000,Diesel,Manual,Grey,First,Individual,2393.0,7.0,55.0
Maruti Suzuki,675000,2017,73315,Petrol,Manual,Grey,First,Individual,1373.0,5.0,43.0
Mercedes-Benz,1898999,2015,47000,Petrol,Automatic,White,Second,Individual,1991.0,5.0,52.00220966084276
BMW,2650000,2017,75000,Diesel,Automatic,White,Second,Individual,1995.0,5.0,51.0
Skoda,1390000,2017,56000,Petrol,Automatic,White,First,Individual,1798.0,5.0,50.0
Nissan,575000,2015,85000,Diesel,Manual,White,First,Individual,1461.0,5.0,50.0
Hyundai,591000,2017,20281,Petrol,Manual,Red,First,Individual,1197.0,5.0,45.0
Renault,459999,2018,22541,Petrol,Manual,Grey,First,Individual,999.0,5.0,28.0
Maruti Suzuki,1075000,2019,30672,Petrol,Automatic,Blue,First,Individual,1462.0,5.0,43.0
Tata,1695000,2019,20856,Diesel,Manual,Orange,First,Individual,1956.0,5.0,50.0
Volkswagen,944999,2017,41417,Petrol,Automatic,Grey,First,Individual,1197.0,5.0,45.0
Maruti Suzuki,569000,2016,11471,Petrol,Automatic,Red,First,Individual,998.0,5.0,35.0
Maruti Suzuki,449000,2019,3583,Petrol,Manual,Grey,First,Individual,796.0,5.0,35.0
Maruti Suzuki,894999,2018,21365,Petrol,Automatic,Grey,First,Individual,1197.0,5.0,37.0
Maruti Suzuki,699000,2020,30777,Petrol,Automatic,White,First,Individual,1197.0,5.0,32.0
Hyundai,740000,2016,60125,Petrol,Manual,Silver,First,Individual,1591.0,5.0,60.0
Maruti Suzuki,470000,2020,2169,Petrol,Automatic,Grey,First,Individual,998.0,5.0,27.0
Volkswagen,765000,2015,60240,Petrol,Automatic,Brown,First,Individual,1197.0,5.0,55.0
Hyundai,589000,2018,13772,Petrol,Automatic,White,First,Individual,1086.0,5.0,35.0
Hyundai,999000,2019,27464,Petrol,Manual,Blue,First,Individual,998.0,5.0,45.0
Maruti Suzuki,370000,2019,47377,CNG,Manual,Grey,First,Individual,998.0,4.0,60.0
Maruti Suzuki,325000,2013,23086,Petrol,Manual,Grey,First,Individual,1197.0,5.0,43.0
Hyundai,1175000,2019,36313,Petrol,Manual,Grey,First,Individual,1591.0,5.0,60.0
Honda,351000,2014,39276,Petrol,Manual,Red,First,Individual,1198.0,5.0,35.0
Hyundai,551000,2015,47752,Petrol,Manual,White,First,Individual,1197.0,5.0,45.0
Honda,819999,2018,27963,Petrol,Manual,White,First,Individual,1199.0,5.0,40.0
Hyundai,990000,2020,24013,Petrol,Manual,Blue,First,Individual,998.0,5.0,45.0
Hyundai,925000,2016,66000,Diesel,Automatic,Black,First,Individual,1582.0,5.0,60.0
Ford,535000,2015,28000,Petrol,Manual,Silver,First,Individual,999.0,5.0,52.0
Honda,860000,2013,67000,Petrol,Automatic,Brown,First,Individual,1692.5755432036383,5.0,52.00220966084276
Hyundai,145000,2009,72000,CNG,Manual,Silver,Second,Individual,1086.0,5.0,35.0
Tata,409000,2018,27069,Petrol,Manual,White,First,Individual,1199.0,5.0,35.0
